START 2:88
3:65 BGN loop 2210829 694050 3 151
3:72 END loop
2:182 BGN loop 0 694047 0 0
2:183 END loop
3:100 BGN loop 72 72 1 1
3:104 END loop
2:166 BGN loop 0 2904879 0 0
2:167 END loop
3:58 BGN loop 694050 72 9639 48989
3:75 END loop
3:97 BGN loop 72 72 1 1
3:100 END loop
3:94 BGN loop 69 3 23 23
3:109 END loop
2:139 BGN loop 124650 1 124650 124650
2:142 END loop
3:44 BGN loop 373953 3 124651 124651
3:50 END loop
2:118 BGN loop 3 1 3 3
2:133 END loop
3:72 BGN func 2:163
3:69 BGN func 2:179
3:68 BGN func 2:163
3:101 BGN func 3:54
3:86 BGN func 3:41
2:119 BGN func 3:76
2:146 BGN func 1:98
2:133 BGN func 2:79
2:94 BGN func 1:52
1:79 END func
1:106 END func
2:85 END func
2:167 END func
2:183 END func
3:52 END func
3:75 END func
3:117 END func
911 NOM  RAW 1301|wl1size(wl1size)
1189 NOM  RAW 1183|array(S-4042)
1259 NOM  INIT *|wl1(S-4035)
1833 NOM  INIT *|atomic-temp.i(S-3993)
1628 NOM  RAW 1618|this(S-3999)
513 NOM  RAW 512|countInt(S-4086)
1368 NOM  INIT *|wl1size(S-4031)
1608 NOM  INIT *|__i2(S-4001)
646 NOM  INIT *|v(S-4085)
455 NOM  RAW 434|argv(S-4079)
158 NOM  RAW 100|GEPRESULT_agg.result(GEPRESULT_agg.result)
534 NOM  INIT *|distance(S-4084)
1575 NOM  INIT *|__b(S-4012)
536 NOM  INIT *|runs(S-4080)
1859 NOM  INIT *|__i2(S-3981)
1392 NOM  RAW 1376|threadID(S-4025)
904 NOM  WAR 902|i(S-4063)
1273 NOM  RAW 1251|src(S-4033)
539 NOM  INIT *|i(S-4082)
838 NOM  RAW 760|src(S-4071)
1971 NOM  RAW 1884|.atomictmp.i.i(S-3991)
634 NOM  RAW 633|med(S-4083)
640 NOM  RAW 633|med(S-4083)
666 NOM  RAW 646|v(S-4085) RAW 672|v(S-4085)
437 NOM  RAW 432|argc(S-4078)
1261 NOM  INIT *|wlsize(S-4036)
29 NOM  RAW 18|f(S-4094)
451 NOM  RAW 434|argv(S-4079)
1217 NOM  RAW 1185|n(S-4043)
1222 NOM  WAW 1188|median(S-4041)
894 NOM  RAW 766|threadCount(S-4073)
1251 NOM  INIT *|src(S-4033)
1881 NOM  RAW 1875|__m1(S-3989)
1257 NOM  INIT *|size(S-4038)
1596 NOM  RAW 1593|oldv(oldv)
1296 NOM  RAW 1251|src(S-4033)
1268 NOM  RAW 1257|size(S-4038)
1278 NOM  RAW 1277|temp(S-4040)
1498 NOM  RAW 1405|idx(S-4020) RAW 1500|idx(S-4020)
1280 NOM  RAW 1264|v(S-4034) RAW 1293|v(S-4034)
1866 NOM  RAW 1861|__m(S-3980)
1284 NOM  RAW 1277|temp(S-4040)
1297 NOM  RAW 1259|wl1(S-4035)
1224 NOM  RAW 1222|median(S-4041)
1286 NOM  RAW 1264|v(S-4034) RAW 1293|v(S-4034)
975 NOM  RAW 964|retval(S-4072)
166 NOM  WAR 148|cnt(S-4095)
902 NOM  RAW 890|i(S-4063) RAW 904|i(S-4063)
1366 NOM  INIT *|wl1(S-4032)
1464 NOM  RAW 1425|s(S-4016)
1618 NOM  INIT *|this(S-3999)
1378 NOM  INIT *|threadCount(S-4024)
139 NOM  RAW 90|GEPRESULT_agg.result(GEPRESULT_agg.result)
1381 NOM  RAW 1376|threadID(S-4025)
1383 NOM  RAW 1368|wl1size(S-4031)
1824 NOM  RAW 1816|__m(S-3980)
1386 NOM  RAW 1378|threadCount(S-4024)
1301 NOM  WAW 803|wlsize(wlsize)
1429 NOM  RAW 1418|src(S-4017)
1468 NOM  RAW 1462|dst(S-4019)
973 NOM  RAW 820|saved_stack(S-4068)
1402 NOM  INIT *|endNode(S-4021)
856 NOM  INIT 0|wl2size(wl2size) WAR 1832|wl2size(wl2size) WAW 856|wl2size(wl2size)
1869 NOM  INIT *|this(S-3983)
1408 NOM  RAW 1405|idx(S-4020) RAW 1500|idx(S-4020)
1300 NOM  RAW 1261|wlsize(S-4036)
1451 NOM  RAW 1448|i(S-4014) RAW 1487|i(S-4014)
680 NOM  RAW 1289|GEPRESULT_distance(GEPRESULT_distance)
1188 NOM  INIT *|median(S-4041)
1452 NOM  RAW 1442|end(S-4022)
1485 NOM  RAW 1448|i(S-4014) RAW 1487|i(S-4014)
474 NOM  RAW 470|source(S-4089)
1487 NOM  WAR 1485|i(S-4014)
1466 NOM  INIT *|new_dist(S-4018) WAR 1473|new_dist(S-4018)
1267 NOM  RAW 1264|v(S-4034) RAW 1293|v(S-4034)
1471 NOM  RAW 1466|new_dist(S-4018)
1476 NOM  RAW 1462|dst(S-4019)
1478 NOM  RAW 1372|wl2size(S-4027)
1437 NOM  RAW 1418|src(S-4017)
1414 NOM  RAW 1405|idx(S-4020) RAW 1500|idx(S-4020)
1418 NOM  INIT *|src(S-4017) WAR 1437|src(S-4017) WAR 1491|src(S-4017)
432 NOM  INIT *|argc(S-4078)
1420 NOM  RAW 1362|dist(S-4029)
1816 NOM  INIT *|__m(S-3980)
1421 NOM  RAW 1418|src(S-4017)
1442 NOM  INIT *|end(S-4022) WAR 1452|end(S-4022)
1490 NOM  RAW 1364|dist_n(S-4030)
1806 NOM  INIT *|addr(S-3985)
1494 NOM  RAW 1425|s(S-4016)
1577 NOM  RAW 1569|__m(S-4000)
1372 NOM  INIT *|wl2size(S-4027)
1720 NOM  RAW 1633|.atomictmp.i.i(S-4009)
1559 NOM  INIT *|addr(S-3997)
1567 NOM  INIT *|this(S-3999)
865 NOM  RAW 762|g(S-4070)
672 NOM  WAR 670|v(S-4085)
1739 NOM  INIT *|cmpxchg.bool.i.i(S-4010)
1561 NOM  INIT *|val(S-3998)
1564 NOM  RAW 1559|addr(S-3997)
1600 NOM  RAW 1559|addr(S-3997)
1413 NOM  RAW 1366|wl1(S-4032)
1633 NOM  INIT *|.atomictmp.i.i(S-4009)
943 NOM  RAW 781|dist_new(dist_new)
1603 NOM  RAW 1561|val(S-3998)
1364 NOM  INIT *|dist_n(S-4030)
1473 NOM  RAW 1466|new_dist(S-4018)
1604 NOM  INIT *|this(S-3999)
1606 NOM  INIT *|__i1(S-4002)
547 NOM  RAW 503|threadCount(S-4087) RAW 517|threadCount(S-4087)
1612 NOM  RAW 1604|this(S-3999)
349 NOM  RAW 90|GEPRESULT_g(GEPRESULT_g)
1613 NOM  RAW 1606|__i1(S-4002)
1620 NOM  INIT *|__i1(S-4002)
493 NOM  RAW 492|runveri(S-4088)
1634 NOM  RAW 1626|__m2(S-4008)
1614 NOM  RAW 1608|__i2(S-4001)
1616 NOM  RAW 1610|__m(S-4000)
1622 NOM  INIT *|__i2(S-4001)
1877 NOM  INIT *|__m2(S-3990)
1626 NOM  INIT *|__m2(S-4008)
1630 NOM  RAW 1624|__m1(S-4007)
1458 NOM  RAW 1448|i(S-4014) RAW 1487|i(S-4014)
1632 NOM  RAW 1622|__i2(S-4001)
1500 NOM  WAR 1498|idx(S-4020)
1808 NOM  INIT *|val(S-3984)
682 NOM  RAW 534|distance(S-4084)
1390 NOM  INIT *|begNode(S-4023)
1462 NOM  INIT *|dst(S-4019) WAR 1468|dst(S-4019) WAR 1476|dst(S-4019)
1814 NOM  INIT *|this(S-3983)
1820 NOM  RAW 1816|__m(S-3980)
2:147 END program
